[2025-05-27 13:45:53,862] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:46:00,304] INFO django.server: "POST /admin/store/category/1/change/ HTTP/1.1" 302 0
[2025-05-27 13:46:00,337] INFO django.server: "GET /admin/store/category/ HTTP/1.1" 200 13988
[2025-05-27 13:46:00,452] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:46:10,504] INFO django.server: "GET /admin/store/subcategory/add/ HTTP/1.1" 200 14658
[2025-05-27 13:46:10,606] INFO django.server: "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
[2025-05-27 13:46:10,620] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:47:38,597] INFO django.server: "POST /admin/store/subcategory/add/ HTTP/1.1" 302 0
[2025-05-27 13:47:38,646] INFO django.server: "GET /admin/store/subcategory/add/ HTTP/1.1" 200 14976
[2025-05-27 13:47:38,837] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:47:45,546] INFO django.server: "POST /admin/store/subcategory/add/ HTTP/1.1" 302 0
[2025-05-27 13:47:45,579] INFO django.server: "GET /admin/store/subcategory/add/ HTTP/1.1" 200 14977
[2025-05-27 13:47:45,657] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:47:58,377] INFO django.server: "POST /admin/store/subcategory/add/ HTTP/1.1" 302 0
[2025-05-27 13:47:58,452] INFO django.server: "GET /admin/store/subcategory/add/ HTTP/1.1" 200 14979
[2025-05-27 13:47:58,559] INFO django.server: "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
[2025-05-27 13:47:58,573] INFO django.server: "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
[2025-05-27 13:47:58,585] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:48:05,202] INFO django.server: "POST /admin/store/subcategory/add/ HTTP/1.1" 302 0
[2025-05-27 13:48:05,244] INFO django.server: "GET /admin/store/subcategory/ HTTP/1.1" 200 14870
[2025-05-27 13:48:05,378] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:48:12,323] INFO django.server: "GET /admin/store/product/add/ HTTP/1.1" 200 16733
[2025-05-27 13:48:12,420] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:50:21,443] INFO django.server: "GET /admin/store/subcategory/ HTTP/1.1" 200 14623
[2025-05-27 13:50:26,647] INFO django.server: "GET /admin/store/product/add/ HTTP/1.1" 200 16733
[2025-05-27 13:50:26,785] INFO django.server: "GET /static/admin/css/base.css HTTP/1.1" 304 0
[2025-05-27 13:50:26,798] INFO django.server: "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
[2025-05-27 13:50:26,804] INFO django.server: "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
[2025-05-27 13:50:26,806] INFO django.server: "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[2025-05-27 13:50:26,806] INFO django.server: "GET /static/admin/js/theme.js HTTP/1.1" 304 0
[2025-05-27 13:50:26,808] INFO django.server: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[2025-05-27 13:50:26,816] INFO django.server: "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[2025-05-27 13:50:26,816] INFO django.server: "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
[2025-05-27 13:50:26,821] INFO django.server: "GET /static/admin/js/core.js HTTP/1.1" 304 0
[2025-05-27 13:50:26,828] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:50:26,842] INFO django.server: "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[2025-05-27 13:50:26,853] INFO django.server: "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[2025-05-27 13:50:26,857] INFO django.server: "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[2025-05-27 13:50:26,867] INFO django.server: "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[2025-05-27 13:50:26,868] INFO django.server: "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[2025-05-27 13:50:26,876] INFO django.server: "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[2025-05-27 13:50:26,888] INFO django.server: "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
[2025-05-27 13:50:26,940] INFO django.server: "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
[2025-05-27 13:50:26,940] INFO django.server: "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
[2025-05-27 13:50:28,745] INFO django.server: "GET /admin/store/product/ HTTP/1.1" 200 11852
[2025-05-27 13:50:28,912] INFO django.server: "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[2025-05-27 13:50:28,952] INFO django.server: "GET /static/admin/js/filters.js HTTP/1.1" 304 0
[2025-05-27 13:50:28,957] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:50:30,703] INFO django.server: "GET /admin/store/product/add/ HTTP/1.1" 200 16733
[2025-05-27 13:50:30,786] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:51:45,464] INFO django.server: "GET /admin/store/product/add/ HTTP/1.1" 200 16733
[2025-05-27 13:51:45,559] INFO django.server: "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
[2025-05-27 13:51:45,574] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:52:58,279] INFO django.server: "POST /admin/store/product/add/ HTTP/1.1" 302 0
[2025-05-27 13:52:58,322] INFO django.server: "GET /admin/store/product/add/ HTTP/1.1" 200 17024
[2025-05-27 13:52:58,457] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:52:58,489] INFO django.server: "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
[2025-05-27 13:54:58,902] INFO django.server: "POST /admin/store/product/add/ HTTP/1.1" 302 0
[2025-05-27 13:54:58,944] INFO django.server: "GET /admin/store/product/add/ HTTP/1.1" 200 17024
[2025-05-27 13:54:59,093] INFO django.server: "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
[2025-05-27 13:54:59,107] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:54:59,112] INFO django.server: "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
[2025-05-27 13:55:40,708] INFO django.server: "POST /admin/store/product/add/ HTTP/1.1" 302 0
[2025-05-27 13:55:40,745] INFO django.server: "GET /admin/store/product/add/ HTTP/1.1" 200 17040
[2025-05-27 13:55:40,849] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:56:12,715] INFO django.server: "POST /admin/store/product/add/ HTTP/1.1" 302 0
[2025-05-27 13:56:12,750] INFO django.server: "GET /admin/store/product/add/ HTTP/1.1" 200 17030
[2025-05-27 13:56:12,834] INFO django.server: "GET /static/admin/css/base.css HTTP/1.1" 304 0
[2025-05-27 13:56:12,869] INFO django.server: "GET /static/admin/js/theme.js HTTP/1.1" 304 0
[2025-05-27 13:56:12,870] INFO django.server: "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
[2025-05-27 13:56:12,870] INFO django.server: "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
[2025-05-27 13:56:12,872] INFO django.server: "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[2025-05-27 13:56:12,876] INFO django.server: "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
[2025-05-27 13:56:12,879] INFO django.server: "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[2025-05-27 13:56:12,884] INFO django.server: "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[2025-05-27 13:56:12,885] INFO django.server: "GET /static/admin/js/core.js HTTP/1.1" 304 0
[2025-05-27 13:56:12,894] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:56:12,909] INFO django.server: "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[2025-05-27 13:56:12,912] INFO django.server: "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[2025-05-27 13:56:12,931] INFO django.server: "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[2025-05-27 13:56:12,935] INFO django.server: "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[2025-05-27 13:56:12,935] INFO django.server: "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[2025-05-27 13:56:12,935] INFO django.server: "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[2025-05-27 13:56:12,963] INFO django.server: "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
[2025-05-27 13:56:12,984] INFO django.server: "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
[2025-05-27 13:56:12,991] INFO django.server: "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
[2025-05-27 13:56:47,784] INFO django.server: "POST /admin/store/product/add/ HTTP/1.1" 302 0
[2025-05-27 13:56:47,852] INFO django.server: "GET /admin/store/product/add/ HTTP/1.1" 200 17033
[2025-05-27 13:56:47,938] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:57:25,192] INFO django.server: "POST /admin/store/product/add/ HTTP/1.1" 302 0
[2025-05-27 13:57:25,231] INFO django.server: "GET /admin/store/product/add/ HTTP/1.1" 200 17020
[2025-05-27 13:57:25,333] INFO django.server: "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
[2025-05-27 13:57:25,347] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:57:50,464] INFO django.server: "POST /admin/store/product/add/ HTTP/1.1" 302 0
[2025-05-27 13:57:50,507] INFO django.server: "GET /admin/store/product/add/ HTTP/1.1" 200 17016
[2025-05-27 13:57:50,625] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:58:51,513] INFO django.server: "POST /admin/store/product/add/ HTTP/1.1" 302 0
[2025-05-27 13:58:51,552] INFO django.server: "GET /admin/store/product/add/ HTTP/1.1" 200 17027
[2025-05-27 13:58:51,610] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:58:51,680] INFO django.server: "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
[2025-05-27 13:59:19,942] INFO django.server: "POST /admin/store/product/add/ HTTP/1.1" 302 0
[2025-05-27 13:59:19,978] INFO django.server: "GET /admin/store/product/ HTTP/1.1" 200 16432
[2025-05-27 13:59:20,090] INFO django.server: "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[2025-05-27 13:59:20,112] INFO django.server: "GET /admin/jsi18n/ HTTP/1.1" 200 17546
[2025-05-27 13:59:20,136] INFO django.server: "GET /static/admin/js/filters.js HTTP/1.1" 304 0
[2025-05-27 14:01:20,728] INFO aiogram.event: Update id=535527009 is handled. Duration 625 ms by bot id=7803105101
[2025-05-27 14:01:30,414] INFO aiogram.event: Update id=535527010 is not handled. Duration 2 ms by bot id=7803105101
[2025-05-27 14:01:49,454] INFO aiogram.event: Update id=535527011 is handled. Duration 313 ms by bot id=7803105101
[2025-05-27 14:01:55,189] INFO aiogram.event: Update id=535527012 is handled. Duration 138 ms by bot id=7803105101
[2025-05-27 14:02:03,538] INFO aiogram.event: Update id=535527013 is handled. Duration 111 ms by bot id=7803105101
[2025-05-27 14:02:15,230] INFO aiogram.event: Update id=535527014 is not handled. Duration 2 ms by bot id=7803105101
[2025-05-27 14:02:19,022] INFO aiogram.event: Update id=535527015 is handled. Duration 428 ms by bot id=7803105101
[2025-05-27 14:02:21,847] INFO aiogram.event: Update id=535527016 is not handled. Duration 2 ms by bot id=7803105101
[2025-05-27 14:02:26,805] INFO aiogram.event: Update id=535527017 is handled. Duration 108 ms by bot id=7803105101
[2025-05-27 14:02:31,320] INFO aiogram.event: Update id=535527018 is not handled. Duration 2 ms by bot id=7803105101
[2025-05-27 14:02:39,777] INFO aiogram.event: Update id=535527019 is not handled. Duration 2 ms by bot id=7803105101
[2025-05-27 14:10:31,146] WARNING aiogram.dispatcher: Received SIGTERM signal
[2025-05-27 14:10:31,149] INFO aiogram.dispatcher: Polling stopped for bot @its_test_shop_bot id=7803105101 - 'tg_shop_project'
[2025-05-27 14:10:31,150] INFO aiogram.dispatcher: Polling stopped
[2025-05-27 14:11:01,546] INFO aiogram.dispatcher: Start polling
[2025-05-27 14:11:01,628] INFO aiogram.dispatcher: Run polling for bot @its_test_shop_bot id=7803105101 - 'tg_shop_project'
[2025-05-27 14:11:06,229] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2025-05-27 14:12:37,221] INFO aiogram.event: Update id=535527020 is not handled. Duration 2 ms by bot id=7803105101
[2025-05-27 14:12:42,579] INFO aiogram.event: Update id=535527021 is handled. Duration 679 ms by bot id=7803105101
[2025-05-27 14:12:44,677] INFO aiogram.event: Update id=535527022 is not handled. Duration 2 ms by bot id=7803105101
[2025-05-27 14:12:54,813] INFO aiogram.event: Update id=535527023 is handled. Duration 306 ms by bot id=7803105101
[2025-05-27 14:13:03,805] INFO aiogram.event: Update id=535527024 is handled. Duration 298 ms by bot id=7803105101
[2025-05-27 14:13:25,519] INFO aiogram.event: Update id=535527025 is not handled. Duration 2 ms by bot id=7803105101
[2025-05-27 14:15:48,136] INFO aiogram.event: Update id=535527026 is not handled. Duration 2 ms by bot id=7803105101
[2025-05-27 14:15:53,530] INFO aiogram.event: Update id=535527027 is handled. Duration 589 ms by bot id=7803105101
[2025-05-27 14:20:01,670] WARNING aiogram.dispatcher: Received SIGTERM signal
[2025-05-27 14:20:01,673] INFO aiogram.dispatcher: Polling stopped for bot @its_test_shop_bot id=7803105101 - 'tg_shop_project'
[2025-05-27 14:20:01,674] INFO aiogram.dispatcher: Polling stopped
[2025-05-27 14:21:24,232] INFO aiogram.dispatcher: Start polling
[2025-05-27 14:21:24,316] INFO aiogram.dispatcher: Run polling for bot @its_test_shop_bot id=7803105101 - 'tg_shop_project'
[2025-05-27 14:21:28,685] INFO django.utils.autoreload: Watching for file changes with StatReloader
[2025-05-27 14:21:29,412] INFO aiogram.event: Update id=535527028 is handled. Duration 590 ms by bot id=7803105101
[2025-05-27 14:21:42,765] INFO aiogram.event: Update id=535527029 is not handled. Duration 1 ms by bot id=7803105101
[2025-05-27 14:21:42,766] ERROR aiogram.event: Cause exception while process update id=535527029 by bot id=7803105101
AttributeError: 'QuerySet' object has no attribute 'aquery'
Traceback (most recent call last):
